iter	Passed	Remaining
417	2675	10125
418	2682	10121
419	2688	10114
420	2694	10107
421	2701	10100
422	2707	10094
423	2714	10088
424	2720	10082
425	2727	10076
426	2733	10068
427	2739	10061
428	2745	10054
429	2751	10047
430	2758	10040
431	2764	10033
432	2770	10026
433	2776	10019
434	2782	10012
435	2789	10005
436	2795	9997
437	2801	9990
438	2807	9983
439	2813	9976
440	2819	9968
441	2826	9961
442	2833	9957
443	2840	9953
444	2847	9950
445	2854	9947
446	2861	9943
447	2869	9941
448	2876	9937
449	2884	9933
450	2891	9929
451	2898	9925
452	2905	9922
453	2912	9917
454	2919	9914
455	2926	9910
456	2934	9907
457	2941	9903
458	2948	9900
459	2956	9896
460	2963	9892
461	2969	9885
462	2975	9878
463	2981	9871
464	2988	9865
465	2994	9857
466	3000	9850
467	3007	9844
468	3013	9837
469	3019	9830
470	3026	9823
471	3032	9816
472	3037	9805
473	3043	9798
474	3049	9791
475	3056	9784
476	3062	9777
477	3068	9770
478	3074	9763
479	3081	9756
480	3087	9749
481	3093	9742
482	3099	9735
483	3105	9728
484	3112	9721
485	3118	9714
486	3124	9707
487	3130	9699
488	3136	9692
489	3142	9684
490	3148	9677
491	3155	9670
492	3161	9663
493	3167	9656
494	3174	9650
495	3180	9643
496	3186	9636
497	3192	9629
498	3198	9622
499	3204	9614
500	3210	9607
501	3217	9600
502	3223	9593
503	3229	9586
504	3235	9578
505	3241	9571
506	3248	9564
507	3254	9558
508	3260	9551
509	3266	9544
510	3273	9538
511	3279	9531
512	3285	9524
513	3292	9517
514	3298	9510
515	3304	9503
516	3310	9496
517	3317	9491
518	3323	9484
519	3329	9477
520	3336	9470
521	3342	9463
522	3348	9455
523	3354	9449
524	3360	9442
525	3367	9435
526	3373	9428
527	3379	9421
528	3385	9414
529	3391	9407
530	3397	9400
531	3404	9393
532	3410	9387
533	3416	9380
534	3422	9372
535	3432	9375
536	3438	9368
537	3445	9362
538	3451	9355
539	3457	9349
540	3464	9342
541	3470	9336
542	3477	9330
543	3483	9322
544	3489	9316
545	3496	9310
546	3502	9303
547	3509	9299
548	3516	9292
549	3522	9285
550	3528	9279
551	3534	9272
552	3541	9265
553	3547	9259
554	3553	9252
555	3560	9245
556	3566	9239
557	3572	9232
558	3578	9225
559	3584	9218
560	3591	9211
561	3597	9204
562	3603	9197
563	3609	9191
564	3615	9183
565	3622	9177
566	3628	9170
567	3635	9164
568	3641	9157
569	3647	9151
570	3653	9144
571	3660	9138
572	3667	9132
573	3673	9126
574	3679	9119
575	3685	9112
576	3692	9105
577	3698	9099
578	3705	9093
579	3711	9086
580	3717	9078
581	3723	9071
582	3729	9065
583	3735	9058
584	3742	9051
585	3748	9044
586	3754	9038
587	3761	9031
588	3767	9025
589	3773	9018
590	3779	9011
591	3786	9006
592	3792	8999
593	3799	8992
594	3805	8985
595	3811	8978
596	3817	8971
597	3824	8965
598	3830	8958
599	3836	8951
600	3842	8944
601	3849	8938
602	3855	8931
603	3861	8925
604	3867	8918
605	3874	8911
606	3880	8904
607	3886	8898
608	3893	8891
609	3899	8885
610	3905	8878
611	3911	8871
612	3918	8865
613	3924	8858
614	3930	8852
615	3937	8845
616	3943	8839
617	3949	8832
618	3956	8826
619	3962	8819
620	3968	8813
621	3975	8806
622	3981	8800
623	3987	8793
624	3994	8787
625	4000	8780
626	4006	8773
627	4012	8767
628	4019	8760
629	4025	8753
630	4031	8747
631	4037	8740
632	4044	8734
633	4051	8728
634	4058	8724
635	4066	8720
636	4073	8716
637	4080	8711
638	4088	8707
639	4095	8703
640	4103	8699
641	4110	8694
642	4117	8690
643	4124	8685
644	4131	8680
645	4139	8675
646	4146	8671
647	4153	8666
648	4161	8662
649	4168	8657
650	4175	8653
651	4183	8648
652	4190	8644
653	4197	8639
654	4205	8635
655	4212	8630
656	4219	8625
657	4225	8618
658	4231	8611
659	4237	8604
660	4244	8597
661	4250	8590
662	4256	8584
663	4262	8577
664	4269	8570
665	4275	8563
666	4281	8557
667	4288	8550
668	4294	8544
669	4300	8537
670	4307	8530
671	4313	8524
672	4320	8518
673	4326	8511
674	4332	8505
675	4339	8499
676	4345	8492
677	4352	8486
