iter	Logloss
0	0.6875737417
1	0.6825571694
2	0.6780133273
3	0.673182752
4	0.6685635475
5	0.6651914869
6	0.6608010104
7	0.6575427674
8	0.6530704803
9	0.6488563389
10	0.6450633131
11	0.641127408
12	0.6370088143
13	0.633936789
14	0.6302854216
15	0.6273534181
16	0.6242673366
17	0.6207516725
18	0.6168835511
19	0.6137602602
20	0.6109075339
21	0.6080836247
22	0.605757391
23	0.6032759372
24	0.6003939672
25	0.5974426692
26	0.5940069695
27	0.5913502983
28	0.5881347214
29	0.5854610348
30	0.5832877271
31	0.5811711519
32	0.5787388276
33	0.5758440374
34	0.5736611484
35	0.5717243176
36	0.5693464389
37	0.567849835
38	0.565817367
39	0.5638402503
40	0.5616219441
41	0.5598608777
42	0.5573367309
43	0.5554170631
44	0.5540786867
45	0.552674124
46	0.550809348
47	0.5492544173
48	0.5477158358
49	0.546088978
50	0.5443855786
51	0.5427233552
52	0.5409664385
53	0.5390288672
54	0.537067172
55	0.5355104568
56	0.5337468575
57	0.5321850262
58	0.5309444409
59	0.5290278484
60	0.5276406033
61	0.5258155878
62	0.5246026897
63	0.5231547329
64	0.522044963
65	0.520560867
66	0.5190342087
67	0.5173436487
68	0.5157361712
69	0.5146741959
70	0.5137266271
71	0.5126806119
72	0.5114002281
73	0.5103043108
74	0.5088549589
75	0.5077883521
76	0.5068778592
77	0.5055899503
78	0.5047290348
79	0.5034664193
80	0.5018778261
81	0.5006243549
82	0.4997256236
83	0.49879477
84	0.4979981904
85	0.4970460887
86	0.4957730703
87	0.4948085661
88	0.4938362116
89	0.4929872696
90	0.4920819179
91	0.4910172875
92	0.4902342514
93	0.4892153617
94	0.4880787938
95	0.4873848607
96	0.4865175876
97	0.485527086
98	0.4847038375
99	0.4838214097
100	0.4831875959
101	0.482379172
102	0.4813557038
103	0.4804155103
104	0.4794606695
105	0.4789470847
106	0.4781014622
107	0.4775173147
108	0.4765308621
109	0.4760194443
110	0.4754077705
111	0.474814771
112	0.4736691015
113	0.4727750311
114	0.4721206248
115	0.4715843977
116	0.4708143413
117	0.4703022588
118	0.4695179848
119	0.4686677954
120	0.4677943592
121	0.4671392899
122	0.4665965234
123	0.4659137163
124	0.4655456268
125	0.4649233932
126	0.4642727833
127	0.4637501842
128	0.463090336
129	0.4623728178
130	0.4618618735
131	0.4613396169
132	0.4606595845
133	0.460181175
134	0.459643401
135	0.459128332
136	0.4587196985
137	0.4581610123
138	0.4572479343
139	0.4568324822
140	0.4562400353
141	0.4557092045
142	0.4551534157
143	0.454610198
144	0.4540481204
145	0.4534621416
146	0.4528835394
147	0.4524644014
148	0.451967826
149	0.4514686177
150	0.4509775656
151	0.4506330917
152	0.4501939573
153	0.4496504488
154	0.4491035868
155	0.4486748372
156	0.4480561035
157	0.4475881966
158	0.4471151437
159	0.4465399265
160	0.445981554
161	0.4454961163
162	0.4451265145
163	0.4446365501
164	0.4444093269
165	0.4439341266
166	0.4436570574
167	0.443253602
168	0.4428537629
169	0.4422926889
170	0.4418467469
171	0.4415461374
172	0.4412478459
173	0.4407730325
174	0.4403584132
175	0.4400700069
176	0.4395771836
177	0.4391418288
178	0.4387098439
179	0.438426869
180	0.4380719599
181	0.4376132097
182	0.437152
183	0.4368795719
184	0.4364420493
185	0.4361705753
186	0.4357579468
